# TX Southern vs Kansas 136, 138, 144, 146
1411, 1242, 136, 138, 144, 146
# Creighton vs San Diego St 136, 138, 144, 146
1166, 1361, 136, 138, 144, 146
# SD State vs Providence 136, 138, 144, 146
1377, 1344, 136, 138, 144, 146
# Richmond vs Iowa 136, 138, 144, 146
1350, 1234, 136, 138, 144, 146
# JSU vs Auburn 137, 139, 144, 146
1240, 1120, 137, 139, 144, 146
# Miami FL vs USC 137, 139, 144, 146
1274, 1425, 137, 139, 144, 146
# Iowa State vs LSU 137, 139, 144, 146
1235, 1261, 137, 139, 144, 146
# Colgate vs Wisconsin 137, 139, 144, 146
1159, 1458, 137, 139, 144, 146

# Wright State vs Arizona 137, 139, 143, 145
1460, 1112, 137, 139, 143, 145
# TCU vs Seton Hall 137, 139, 143, 145
1395, 1371, 137, 139, 143, 145
# Chattanooga vs Illinois 137, 139, 143, 145
1151, 1228, 137, 139, 143, 145
# UAB vs Houston 137, 139, 143, 145
1412, 1222, 137, 139, 143, 145
# Michigan vs CO State 136, 138, 143, 145
1276, 1161, 136, 138, 143, 145
# Longwood vs Tennessee 136, 138, 143, 145
1255, 1397, 136, 138, 143, 145
# Loyola IL vs Ohio State 137, 139, 143, 145
1259, 1326, 137, 139, 143, 145
# Delaware vs Villanova 137, 139, 143, 145
1174, 1437, 137, 139, 143, 145

# Indiana vs Saint Mary's 136, 138, 144, 146
1231, 1388, 136, 138, 144, 146
# Akron vs UCLA 136, 138, 144, 146
1103, 1417, 136, 138, 144, 146
# Norfolk State vs Baylor 136, 138, 144, 146
1313, 1124, 136, 138, 144, 146
# Marquette vs UNC 136, 138, 144, 146
1266, 1314, 136, 138, 144, 146
# Saint Peter's vs Kentucky 136, 138, 144, 146
1389, 1246, 136, 138, 144, 146
# San Francisco vs Murray State 136, 138, 144, 146
1362, 1293, 136, 138, 144, 146
# Yale vs Purdue 137, 139, 144, 146
1463, 1345, 137, 139, 144, 146
# Virginia Tech vs Texas 137, 139, 144, 146
1439, 1400, 137, 139, 144, 146

# Notre Dame vs Alabama 137, 139, 143, 145
1323, 1104, 137, 139, 143, 145
# Montana State vs Texas Tech 137, 139, 143, 145
1286, 1403, 137, 139, 143, 145
# Cal State Fullerton vs Duke 137, 139, 143, 145
1168, 1181, 137, 139, 143, 145
# Davidson vs MI State 137, 139, 143, 145
1172, 1277, 137, 139, 143, 145
# Memphis vs Boise State 136, 138, 143, 145
1272, 1129, 136, 138, 143, 145
# Georgia State vs Gonzaga 136, 138, 143, 145
1209, 1211, 136, 138, 143, 145
# NM State vs Connecticut 136, 138, 143, 145
1308, 1163, 136, 138, 143, 145
# Vermont vs Arkansas 136, 138, 143, 145
1436, 1116, 136, 138, 143, 145
